,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave_points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave_points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave_points_worst,symmetry_worst,fractal_dimension_worst
radius_se,0.6669541811718153,0.24934693325112384,0.6807391476588761,0.7227280101689155,0.2981049364906298,0.48286709462196203,0.6155544015858789,0.6848332881821338,0.2920706481631931,-0.00828557711625649,1.0,0.23565132633810107,0.9735601962517738,0.9510250334076852,0.16843484763290562,0.3370555276970326,0.31375630364678814,0.49198613491621185,0.26078008741471254,0.21564190578184955,0.6984836800837412,0.17329022038987701,0.7043740184239111,0.7374510569723596,0.12826978673498657,0.26597713841084863,0.35855880748898045,0.506284174670762,0.07923024599287923,0.027611589773884417
texture_se,-0.09218521043986136,0.3555115197352877,-0.08112749723830838,-0.05900088081402315,0.07154983448535383,0.06521595420408913,0.09392249014451584,0.03177119578341954,0.17650248587659836,0.1829545709267999,0.23565132633810107,1.0,0.2408133755035943,0.12960662322481362,0.3812945741150456,0.25528181038613623,0.2256936939453845,0.26428584577806274,0.4424706157183846,0.3046266368167126,-0.10641381193054919,0.38214031970146756,-0.09623999088015432,-0.07748133831428522,-0.07867068249422494,-0.08191896709139149,-0.05623737265438903,-0.09907523703185611,-0.10606731357302802,-0.0301369081044456
perimeter_se,0.6560713588921258,0.2562704898895463,0.6761920380645524,0.7107134328473326,0.2919153867440731,0.5341192243902946,0.642794080082136,0.6946574873598955,0.3054399587190686,0.030466743531735868,0.9735601962517738,0.2408133755035943,1.0,0.9372708955806974,0.15619970727887866,0.3982896719858995,0.34286665645082887,0.5375006628339631,0.27673029483703804,0.23016503530427238,0.6762393481603468,0.17933916668004427,0.7016064622721427,0.7125746805900735,0.1175561874269328,0.3269672623485985,0.40076273325073014,0.5311469191191748,0.0921965490033578,0.07028233479319204
area_se,0.7194778912778241,0.22975986523728145,0.7299367963083218,0.7882165848788828,0.24945168082840344,0.4354440652332015,0.5974009827873591,0.6751837128836597,0.21761179395092337,-0.09631296567280644,0.9510250334076852,0.12960662322481362,0.9372708955806974,1.0,0.09379651526975989,0.2599379657235733,0.24456083651634059,0.3869315585748049,0.1514133233931877,0.11080853624518985,0.7350753412451142,0.17011968444564832,0.7403944834723999,0.7933317580418756,0.1196556675667967,0.25869349696402577,0.3586286610315152,0.5092737615369585,0.058683403221275306,-0.006488378569673434
smoothness_se,-0.20074714579319547,0.011831896473173313,-0.18074687008083046,-0.14224658217515534,0.3115816204624851,0.1594153000579002,0.12721942987353832,0.04776966303725195,0.16262904497938707,0.3975143678608513,0.16843484763290562,0.3812945741150456,0.15619970727887866,0.09379651526975989,1.0,0.3671007889657897,0.29875851589174035,0.35309136099973887,0.3903847453410501,0.4438332026865136,-0.21201809155105877,-0.07137078525416193,-0.19792774928606705,-0.16058200521786886,0.30321035784511186,-0.03608309501540696,-0.0342912280329182,-0.07854831917204627,-0.12241660894427941,0.11904700481510114
compactness_se,0.1595684777807281,0.17956005923917367,0.20469985917360758,0.17030631863053697,0.3030956626362628,0.7244147747040791,0.6556821567921093,0.4584759710483191,0.440439215068764,0.5638754981821092,0.3370555276970326,0.25528181038613623,0.3982896719858995,0.2599379657235733,0.3671007889657897,1.0,0.8027608182165442,0.7539610800046039,0.4217002638981905,0.8003974736116481,0.16158606241455978,0.12851643663461648,0.22173960310560345,0.16282124129611386,0.20831567867923056,0.6608357742841199,0.6236417017907779,0.45481267866612624,0.2713766349384109,0.5787694919392895
concavity_se,0.14781337224632346,0.12770817964916664,0.18193411287440567,0.1664285713276199,0.24693174621335004,0.5543623324753864,0.6831959813844362,0.4136009636056588,0.35150109963813425,0.46967116333900677,0.31375630364678814,0.2256936939453845,0.34286665645082887,0.24456083651634059,0.29875851589174035,0.8027608182165442,1.0,0.7808329519829583,0.329365458730193,0.7469346583067027,0.14337076156481351,0.08384601601495559,0.18558008427203967,0.1515779105162134,0.15555598618437116,0.4668766121070777,0.6487299039540928,0.41267034918482687,0.18571908666945558,0.4443942972331777
concave_points_se,0.3353347816079207,0.18087929036562064,0.368587100579409,0.3347637930924133,0.37373126675965723,0.6495753682573783,0.6801359243754662,0.5960058022866569,0.4158835652819113,0.3712330130638164,0.49198613491621185,0.26428584577806274,0.5375006628339631,0.3869315585748049,0.35309136099973887,0.7539610800046039,0.7808329519829583,1.0,0.3504534865724026,0.6349925899380999,0.32262131778932984,0.10110560745859168,0.3634511288109787,0.3125530746767055,0.20237281131730156,0.4523821546323549,0.5472048524573949,0.5787026308115285,0.14784612807407282,0.32854704224534165
symmetry_se,-0.09330576381882756,0.0030949161122549754,-0.07406718290037642,-0.06151229144810047,0.16683263408290455,0.22699873734988268,0.1924122195888456,0.10771188914997884,0.4327259400029928,0.32245081551301796,0.26078008741471254,0.4424706157183846,0.27673029483703804,0.1514133233931877,0.3903847453410501,0.4217002638981905,0.329365458730193,0.3504534865724026,1.0,0.3886191921407559,-0.11819223057634025,-0.08207309236706778,-0.09644117004840178,-0.10141059455117493,-0.04090017135387364,0.07659490940335448,0.05556828594099926,-0.00736147350450222,0.3741623776222194,0.09335758846623399
fractal_dimension_se,-0.07557541025220874,0.03388624112149272,-0.0390471609381072,-0.049309640996636026,0.26031967780318177,0.4931485212856892,0.443497339275759,0.22850524104781073,0.341347128532273,0.6853841468545754,0.21564190578184955,0.3046266368167126,0.23016503530427238,0.11080853624518985,0.4438332026865136,0.8003974736116481,0.7469346583067027,0.6349925899380999,0.3886191921407559,1.0,-0.06844071371941797,-0.023341877003033338,-0.03029006575539574,-0.04878191534747387,0.1477548349350844,0.36886389161409405,0.37175198689884986,0.19420645845340417,0.10238910375513768,0.5780949627167542
radius_worst,0.9691340489013297,0.33290805239850835,0.969619731837458,0.9605194984327989,0.22328353846836854,0.514853971790573,0.6650913072846614,0.8276947457037409,0.19200447912412724,-0.27185804628492566,0.6984836800837412,-0.10641381193054919,0.6762393481603468,0.7350753412451142,-0.21201809155105877,0.16158606241455978,0.14337076156481351,0.32262131778932984,-0.11819223057634025,-0.06844071371941797,1.0,0.3488110765359866,0.9933154432258265,0.9834578225808195,0.22398438279073063,0.4551256509153425,0.5506933160527424,0.7746670318163953,0.25120200700372775,0.06750927362507197
texture_worst,0.2875895394550839,0.909717722637522,0.294406131518947,0.27486102952263813,0.07545215991720877,0.24712709563447452,0.28998626729353366,0.3003382584537607,0.13886541554878903,-0.05324432743954089,0.17329022038987701,0.38214031970146756,0.17933916668004427,0.17011968444564832,-0.07137078525416193,0.12851643663461648,0.08384601601495559,0.10110560745859168,-0.08207309236706778,-0.023341877003033338,0.3488110765359866,1.0,0.3566453813460733,0.3292063900163003,0.24600974222367403,0.3599931127171173,0.35794398070700323,0.3798456576656732,0.25777918104746345,0.2043535720215789
perimeter_worst,0.9635355006782285,0.3402260635302334,0.9696743955740708,0.9557008766121777,0.25165821946889005,0.573715625928921,0.7103377951235228,0.855665589231425,0.229285402783995,-0.2214533027776647,0.7043740184239111,-0.09623999088015432,0.7016064622721427,0.7403944834723999,-0.19792774928606705,0.22173960310560345,0.18558008427203967,0.3634511288109787,-0.09644117004840178,-0.03029006575539574,0.9933154432258265,0.3566453813460733,1.0,0.9769788104770192,0.24692939870866093,0.5160519121175382,0.6014837626726561,0.8073916275137188,0.2785710570211049,0.1195343540632462
area_worst,0.9418493240555109,0.3186927204691899,0.9432828152115929,0.9597234576487891,0.2192647852855329,0.49318332683846233,0.6592594470229939,0.8111020578448968,0.18357559647657126,-0.24620372557081255,0.7374510569723596,-0.07748133831428522,0.7125746805900735,0.7933317580418756,-0.16058200521786886,0.16282124129611386,0.1515779105162134,0.3125530746767055,-0.10141059455117493,-0.04878191534747387,0.9834578225808195,0.3292063900163003,0.9769788104770192,1.0,0.21999121244793396,0.42098436992374455,0.5251811672468842,0.7379984252846491,0.21422301192326929,0.056464088812868435
smoothness_worst,0.12192626883327493,0.09330132989112616,0.1531696640966212,0.12777170188756073,0.8082896485991976,0.5720207709679759,0.45762638120725896,0.46762993541729675,0.41685413958411344,0.4954910745472549,0.12826978673498657,-0.07867068249422494,0.1175561874269328,0.1196556675667967,0.30321035784511186,0.20831567867923056,0.15555598618437116,0.20237281131730156,-0.04090017135387364,0.1477548349350844,0.22398438279073063,0.24600974222367403,0.24692939870866093,0.21999121244793396,1.0,0.5787439470611259,0.5278726298779678,0.5671330579601843,0.48785360744182377,0.6295108658458058
compactness_worst,0.38632519802870274,0.27400658133356637,0.43042617677566347,0.36406803550047495,0.49252684902866894,0.8677739978052018,0.7515156048065349,0.6644154388254487,0.508593286986879,0.4677737381030888,0.26597713841084863,-0.08191896709139149,0.3269672623485985,0.25869349696402577,-0.03608309501540696,0.6608357742841199,0.4668766121070777,0.4523821546323549,0.07659490940335448,0.36886389161409405,0.4551256509153425,0.3599931127171173,0.5160519121175382,0.42098436992374455,0.5787439470611259,1.0,0.8893820486358158,0.8054587644830876,0.626436515736647,0.8047862916179711
concavity_worst,0.4968000366750827,0.2827711225438259,0.5355601514209286,0.4849492912934597,0.4587486772504619,0.8135657094287028,0.8840793233615066,0.7480405226730655,0.46116345266513403,0.3643797772105317,0.35855880748898045,-0.05623737265438903,0.40076273325073014,0.3586286610315152,-0.0342912280329182,0.6236417017907779,0.6487299039540928,0.5472048524573949,0.05556828594099926,0.37175198689884986,0.5506933160527424,0.35794398070700323,0.6014837626726561,0.5251811672468842,0.5278726298779678,0.8893820486358158,1.0,0.853694567814526,0.5439067956116281,0.6876758711062243
concave_points_worst,0.7223088092985545,0.29970255912585475,0.7514125548936613,0.7004350761835738,0.5263872029979367,0.817321467537815,0.8550872753954917,0.9106801995198242,0.46467587850116904,0.186255990519066,0.506284174670762,-0.09907523703185611,0.5311469191191748,0.5092737615369585,-0.07854831917204627,0.45481267866612624,0.41267034918482687,0.5787026308115285,-0.00736147350450222,0.19420645845340417,0.7746670318163953,0.3798456576656732,0.8073916275137188,0.7379984252846491,0.5671330579601843,0.8054587644830876,0.853694567814526,1.0,0.5308942063177685,0.5182392486771557
symmetry_worst,0.16809182875642278,0.12298432023518142,0.19194816529235306,0.1447521006176316,0.3852437290979816,0.5064799720062951,0.41632644252334655,0.3911077262144857,0.6992506615749028,0.3177928674291035,0.07923024599287923,-0.10606731357302802,0.0921965490033578,0.058683403221275306,-0.12241660894427941,0.2713766349384109,0.18571908666945558,0.14784612807407282,0.3741623776222194,0.10238910375513768,0.25120200700372775,0.25777918104746345,0.2785710570211049,0.21422301192326929,0.48785360744182377,0.626436515736647,0.5439067956116281,0.5308942063177685,1.0,0.5495201210317396
fractal_dimension_worst,-0.024337155788010843,0.10286783563048002,0.020730572356764305,-0.026034973411715602,0.521392330004077,0.6919603068609526,0.519450952692896,0.36380362525796806,0.47687471122600666,0.7845366211470164,0.027611589773884417,-0.0301369081044456,0.07028233479319204,-0.006488378569673434,0.11904700481510114,0.5787694919392895,0.4443942972331777,0.32854704224534165,0.09335758846623399,0.5780949627167542,0.06750927362507197,0.2043535720215789,0.1195343540632462,0.056464088812868435,0.6295108658458058,0.8047862916179711,0.6876758711062243,0.5182392486771557,0.5495201210317396,1.0
